Card,Fetch,Collectr,TCGPlayer
GD04-068 Silver Bullet,https://www.fetchtcg.com/cards/gdm_pa-GD04-068_R+_R_holofoil/gundam-silver-bullet-r-phantom-aria-holofoil-r,https://app.getcollectr.com/explore/product/691967/gundam-card-game-phantom-aria-silver-bullet-r-gd04-068,https://www.tcgplayer.com/product/691967/gundam-card-game-phantom-aria-silver-bullet-rplus?Language=all&page=1
GD04-071 Graham's Union Flag Custom Ⅱ (GN Flag),https://www.fetchtcg.com/cards/gdm_pa-GD04-071_R+_GFR_holofoil/gundam-grahams-union-flag-custom-ii-gn-flag-r-phantom-aria-holofoil-gfr,https://app.getcollectr.com/explore/product/691969,https://www.tcgplayer.com/product/691969/gundam-card-game-phantom-aria-grahams-union-flag-custom-ii-gn-flag-rplus?Language=all&page=1
GD04-081 Uso Ewin,https://www.fetchtcg.com/cards/gdm_pa-GD04-081_R+_R_holofoil/gundam-uso-ewin-r-phantom-aria-holofoil-r,https://app.getcollectr.com/explore/product/691948/gundam-card-game-phantom-aria-uso-ewin-r-gd04-081,https://www.tcgplayer.com/product/691948/gundam-card-game-phantom-aria-uso-ewin-rplus?Language=all&page=1
GD04-085 Suletta Mercury,https://www.fetchtcg.com/cards/gdm_pa-GD04-085_R+_R_holofoil/gundam-suletta-mercury-r-phantom-aria-holofoil-r,https://app.getcollectr.com/explore/product/691939/gundam-card-game-phantom-aria-suletta-mercury-r-gd04-085,https://www.tcgplayer.com/product/691939/gundam-card-game-phantom-aria-suletta-mercury-rplus?Language=all&page=1
GD04-089 Nena Trinity,https://www.fetchtcg.com/cards/gdm_pa-GD04-089_R+_R_holofoil/gundam-nena-trinity-r-phantom-aria-holofoil-r,https://app.getcollectr.com/explore/product/691959/gundam-card-game-phantom-aria-nena-trinity-r-gd04-089,https://www.tcgplayer.com/product/691959/gundam-card-game-phantom-aria-nena-trinity-rplus?Language=all&page=1
GD04-093 Rey Za Burrel,https://www.fetchtcg.com/cards/gdm_pa-GD04-093_R+_R_holofoil/gundam-rey-za-burrel-r-phantom-aria-holofoil-r,https://app.getcollectr.com/explore/product/691951/gundam-card-game-phantom-aria-rey-za-burrel-r-gd04-093,https://www.tcgplayer.com/product/691951/gundam-card-game-phantom-aria-rey-za-burrel-rplus?Language=all&page=1
GD04-095 Lunamaria Hawke,https://www.fetchtcg.com/cards/gdm_pa-GD04-095_U+_U_holofoil/gundam-lunamaria-hawke-u-phantom-aria-holofoil-u,https://app.getcollectr.com/explore/product/691944/gundam-card-game-phantom-aria-lunamaria-hawke-u-gd04-095,https://www.tcgplayer.com/product/691944/gundam-card-game-phantom-aria-lunamaria-hawke-uplus?Language=all&page=1
GD04-097 Loran Cehack,https://www.fetchtcg.com/cards/gdm_pa-GD04-097_R+_R_holofoil/gundam-loran-cehack-r-phantom-aria-holofoil-r,https://app.getcollectr.com/explore/product/691940/gundam-card-game-phantom-aria-loran-cehack-r-gd04-097,https://www.tcgplayer.com/product/691940/gundam-card-game-phantom-aria-loran-cehack-rplus?Language=all&page=1
GD04-102 Moment of Rest,https://www.fetchtcg.com/cards/gdm_pa-GD04-102_U+_U_holofoil/gundam-moment-of-rest-u-phantom-aria-holofoil-u,https://app.getcollectr.com/explore/product/691965/gundam-card-game-phantom-aria-moment-of-rest-u-gd04-102,https://www.tcgplayer.com/product/691965/gundam-card-game-phantom-aria-moment-of-rest-uplus?Language=all&page=1
GD04-105 Encounter,https://www.fetchtcg.com/cards/gdm_pa-GD04-105_R+_R_holofoil/gundam-encounter-r-phantom-aria-holofoil-r,https://app.getcollectr.com/explore/product/691958,https://www.tcgplayer.com/product/691958/gundam-card-game-phantom-aria-encounter-rplus?Language=all&page=1
GD04-110 Financier,https://www.fetchtcg.com/cards/gdm_pa-GD04-110_U+_U_holofoil/gundam-financier-u-phantom-aria-holofoil-u,https://app.getcollectr.com/explore/product/691961,https://www.tcgplayer.com/product/691961/gundam-card-game-phantom-aria-financier-uplus?Language=all&page=1
GD04-114 Reformationist,https://www.fetchtcg.com/cards/gdm_pa-GD04-114_U+_U_holofoil/gundam-reformationist-u-phantom-aria-holofoil-u,https://app.getcollectr.com/explore/product/691962,https://www.tcgplayer.com/product/691962/gundam-card-game-phantom-aria-reformationist-uplus?Language=all&page=1
GD04-117 Graceful Demeanor,https://www.fetchtcg.com/cards/gdm_pa-GD04-117_R+_R_holofoil/gundam-graceful-demeanor-r-phantom-aria-holofoil-r,https://app.getcollectr.com/explore/product/691953/gundam-card-game-phantom-aria-graceful-demeanor-r-gd04-117,https://www.tcgplayer.com/product/691953/gundam-card-game-phantom-aria-graceful-demeanor-rplus?Language=all&page=1
EB01-001 Gundam Astray Red Frame Custom (EX),,https://app.getcollectr.com/explore/product/702816/gundam-card-game-eternal-nexus-gundam-astray-red-frame-custom-ex-lr-eb01-001,https://www.tcgplayer.com/product/702816/gundam-card-game-eternal-nexus-gundam-astray-red-frame-custom-ex-lrplus?Language=all&page=1
EB01-002 Hi-Nu Gundam (EX),,https://app.getcollectr.com/explore/product/702817/gundam-card-game-eternal-nexus-hi-nu-gundam-ex-lr-eb01-002,https://www.tcgplayer.com/product/702817/gundam-card-game-eternal-nexus-hi-nu-gundam-ex-lrplus?Language=all&page=1
EB01-003 Narrative Gundam A-Packs (EX),,https://app.getcollectr.com/explore/product/702818/gundam-card-game-eternal-nexus-narrative-gundam-a-packs-ex-r-eb01-003,https://www.tcgplayer.com/product/702818/gundam-card-game-eternal-nexus-narrative-gundam-a-packs-ex-rplus?Language=all&page=1
EB01-004 Gundam Barbatos Lupus Rex (EX),,https://app.getcollectr.com/explore/product/702819/gundam-card-game-eternal-nexus-gundam-barbatos-lupus-rex-ex-r-eb01-004,https://www.tcgplayer.com/product/702819/gundam-card-game-eternal-nexus-gundam-barbatos-lupus-rex-ex-rplus?Language=all&page=1
EB01-006 Gundam Astray Gold Frame Amatsu,,https://app.getcollectr.com/explore/product/702820/gundam-card-game-eternal-nexus-gundam-astray-gold-frame-amatsu-u-eb01-006,https://www.tcgplayer.com/product/702820/gundam-card-game-eternal-nexus-gundam-astray-gold-frame-amatsu-uplus?Language=all&page=1
EB01-009 Gundam Full Armor (Thunderbolt) (EX),,https://app.getcollectr.com/explore/product/702821/gundam-card-game-eternal-nexus-gundam-full-armor-thunderbolt-ex-u-eb01-009,https://www.tcgplayer.com/product/702821/gundam-card-game-eternal-nexus-gundam-full-armor-thunderbolt-ex-uplus?Language=all&page=1
EB01-021 Build Strike Gundam (Full Package) (EX),,https://app.getcollectr.com/explore/product/702822/gundam-card-game-eternal-nexus-build-strike-gundam-full-package-ex-lr-eb01-021,https://www.tcgplayer.com/product/702822/gundam-card-game-eternal-nexus-build-strike-gundam-full-package-ex-lrplus?Language=all&page=1
EB01-022 Gundam Exia (EX),,https://app.getcollectr.com/explore/product/700930/gundam-card-game-eternal-nexus-gundam-exia-ex-eb01-022,https://www.tcgplayer.com/product/702823/gundam-card-game-eternal-nexus-gundam-exia-ex-lrplus?Language=all&page=1
EB01-023 Le Cygne (EX),,https://app.getcollectr.com/explore/product/702824,https://www.tcgplayer.com/product/702824/gundam-card-game-eternal-nexus-le-cygne-ex-rplus?Language=all&page=1
EB01-025 Tallgeese Ⅱ,,https://app.getcollectr.com/explore/product/702825,https://www.tcgplayer.com/product/702825/gundam-card-game-eternal-nexus-tallgeese-ii-rplus?Language=all&page=1
EB01-041 Strike Freedom Gundam (EX),,https://app.getcollectr.com/explore/product/702826,https://www.tcgplayer.com/product/702826/gundam-card-game-eternal-nexus-strike-freedom-gundam-ex-lrplus?Language=all&page=1
EB01-042 Psycho Haro (EX),,https://app.getcollectr.com/explore/product/702827,https://www.tcgplayer.com/product/702827/gundam-card-game-eternal-nexus-psycho-haro-ex-lrplus?Language=all&page=1
EB01-043 Blue Destiny Unit-1 (EX),,https://app.getcollectr.com/explore/product/702828,https://www.tcgplayer.com/product/702828/gundam-card-game-eternal-nexus-blue-destiny-unit-1-ex-rplus?Language=all&page=1
EB01-044 Justice Gundam (EX),,https://app.getcollectr.com/explore/product/702829,https://www.tcgplayer.com/product/702829/gundam-card-game-eternal-nexus-justice-gundam-ex-rplus?Language=all&page=1
EB01-045 Psycho Zaku (EX),,https://app.getcollectr.com/explore/product/702830,https://www.tcgplayer.com/product/702830/gundam-card-game-eternal-nexus-psycho-zaku-ex-rplus?Language=all&page=1
EB01-046 Striker Custom (EX),,https://app.getcollectr.com/explore/product/702831,https://www.tcgplayer.com/product/702831/gundam-card-game-eternal-nexus-striker-custom-ex-uplus?Language=all&page=1
